Titre,Auteur,Date,URL,Texte
Riefenstahl review – deep-dive study takes down the Nazis’ favourite director,Xan Brooks,2024-08-29,https://www.theguardian.com/film/article/2024/aug/29/riefenstahl-review-deep-dive-study-takes-down-the-nazis-favourite-director,"Leni Riefenstahl returns to the Venice film festival, after a fashion, as the star of Andres Veiel’s"
"Desi rap, deep jungle and truck-stop concrète: five-star albums you may have missed this year","Ben Beaumont-Thomas, Claire Biddles, Shaad D'Souza, Jennifer Lucy Allan, Adrian Horton, Tara Joshi, Lauren Martin, Alexis Petridis, Will Pritchard, Dave Simpson, Laura Snapes and Daniel Dylan Wray",2024-12-27,https://www.theguardian.com/music/2024/dec/27/desi-rap-deep-jungle-and-truck-stop-concrete-five-star-albums-you-may-have-missed-this-year,Phil Geraldi – AM/FM USA Who could read the description “truck stop concrète” and not be intrigued? 
‘Deep moral deterioration’ being normalised in the Israeli-Palestinian conflict,"Bethan McKernan, Jerusalem correspondent",2024-07-30,https://www.theguardian.com/world/article/2024/jul/30/deep-moral-deterioration-is-being-normalised-in-the-israeli-palestinian-conflict,The far-right mob attack on two Israel Defense Forces bases in support of soldiers accused of sexual
‘The ungraspable phantom of life’: why puppetry is perfect for plumbing the deep mysteries of Moby-Dick ,Sanjoy Roy,2025-01-02,https://www.theguardian.com/stage/2025/jan/02/puppetry-moby-dick-mimelondon-plexus-polaire-yngvild-aspeli,"It is unnerving to be taken backstage after a show only to find yourself stepping over the inert, di"
Early learning needs parental engagement | Letter,No author available,2024-03-10,https://www.theguardian.com/education/2024/mar/10/early-learning-needs-parental-engagement,"I share John Harris’s concern (Opinion, 3 March) over Kindred2’s new study about an increase in the "
Learning carpentry from my father helped make me the person I am,Callum Robinson,2024-09-15,https://www.theguardian.com/lifeandstyle/2024/sep/15/learning-carpentry-from-my-father-helped-make-me-the-person-i-am,"Alone with my thoughts at the workbench, with the sanding machine’s insistently buzzing bass note si"
The deep history of British coal – from the Romans to the Ratcliffe shutdown,Jillian Ambrose,2024-09-30,https://www.theguardian.com/business/2024/sep/30/the-deep-history-of-british-coal-from-the-romans-to-the-ratcliffe-shutdown,Britain’s transition to a low-carbon future has reached a milestone with the closure of its last rem
Germany is learning the lesson of history. Are we? | Letters,No author available,2024-06-28,https://www.theguardian.com/world/article/2024/jun/28/germany-is-learning-the-lesson-of-history-are-we,"Barney Ronay’s article resonated very strongly with me (‘On a journey through Germany, the horror of"
Defending champion Coco Gauff digs deep in US Open to beat Svitolina,Tumaini Carayol at Flushing Meadows,2024-08-31,https://www.theguardian.com/sport/article/2024/aug/31/coco-gauff-digs-deep-us-open-to-beat-elina-svitolina-tennis,Coco Gauff arrived in New York this month carrying significant unwanted baggage. Although her summer
Nick Cave and learning through loss | Letters,No author available,2024-03-31,https://www.theguardian.com/music/2024/mar/31/nick-cave-and-learning-through-loss,"Nick Cave refuses to be drawn into polarities, a quality lacking in many current discourses (Nick Ca"
Learning about personal space is a hard lesson for my affectionate son,Séamas O’Reilly,2024-09-01,https://www.theguardian.com/lifeandstyle/article/2024/sep/01/learning-about-personal-space-is-a-hard-lesson-for-my-affectionate-son,"My son is extremely, perhaps miraculously, affectionate toward his sister. We avoided the landmines "
Private Rites by Julia Armfield review – in deep water,Lara Feigel,2024-06-20,https://www.theguardian.com/books/article/2024/jun/20/private-rites-by-julia-armfield-review-in-deep-water,Do individual losses still matter in a world in its final stages? This is the question asked by Agne
Deep-sea diver and fossil fan: meet Manchester United’s new No 1 keeper,Tom Garry,2024-09-19,https://www.theguardian.com/football/2024/sep/19/manchester-united-goalkeeper-phallon-tullis-joyce-deep-sea-diver-fossil-fan,We expect goalkeepers to be good at diving. How about at 130ft below the surface of the ocean? That’
How millions of US children would be hurt by Trump’s mass deportation plan: ‘Deep harm is intentional’,Robin Buller,2024-11-22,https://www.theguardian.com/us-news/2024/nov/22/trump-mass-deportations-immigration-family-children-separation,Donald Trump confirmed on Monday his intentions to make mass deportations a hallmark of his second t
How learning about the science of shyness helped me,David Robson,2024-06-02,https://www.theguardian.com/lifeandstyle/article/2024/jun/02/how-learning-about-the-science-of-shyness-helped-me,"On the day I received an offer from my first-choice university, I expected to feel elation and excit"
"‘I’ve had a wild, chaotic, beautiful life’: Rebecca Hall on race, regrets and learning to be herself",Eva Wiseman,2024-11-17,https://www.theguardian.com/film/2024/nov/17/ive-had-a-wild-chaotic-beautiful-life-rebecca-hall-on-race-regrets-and-learning-to-be-herself,"We all thought that we knew Rebecca Hall – English rose, on stage since childhood, daughter of the R"
Westminster coroner’s court extension review – an extension of deep sympathy,Rowan Moore,2024-06-30,https://www.theguardian.com/artanddesign/article/2024/jun/30/westminster-coroners-court-extension-review-an-extension-of-deep-sympathy,"Westminster coroner’s court is a pretty, playful building from 1893 by the little-known architect GR"
High court blocks Cumbria plan for UK’s first new deep coalmine in 30 years,Helena Horton,2024-09-13,https://www.theguardian.com/environment/2024/sep/13/high-court-blocks-cumbria-plan-for-first-new-uk-coalmine-in-30-years,The UK’s first new deep coalmine in 30 years will not be allowed to go ahead after a ruling in the h
Once I would have squirmed if a barista knew my order. But I’m learning to love being a regular | Emma Beddington,Emma Beddington,2024-12-08,https://www.theguardian.com/commentisfree/2024/dec/08/once-i-would-have-squirmed-if-a-barista-knew-my-order-but-im-learning-to-love-being-a-regular,We went to the same cafe almost every day during our month-long trip to Venice. It was the same one 
"The big picture: Consuelo Kanaga’s portrait of a young woman in the deep south, 1948",Tim Adams,2024-09-29,https://www.theguardian.com/artanddesign/2024/sep/29/the-big-picture-consuelo-kanagas-portrait-of-a-young-woman-in-the-deep-south-1948,Consuelo Kanaga took this picture of a young woman in Tennessee in 1948. Kanaga had by that time bee
GDP growth is strong but it masks UK plc’s deep-seated structural problems | Larry Elliott,Larry Elliott,2024-08-18,https://www.theguardian.com/business/article/2024/aug/18/uk-gdp-growth-strong-masks-deep-seated-structural-problems,Britain had the fastest-growing economy in the G7 in the first half of this year. The unemployment r
"Learning to scoot is all very well, but what’s the point if you can’t ring your own bell? | Séamas O’Reilly",Séamas O’Reilly,2024-11-17,https://www.theguardian.com/lifeandstyle/2024/nov/17/learning-to-scoot-is-all-very-well-but-whats-the-point-if-you-cant-ring-your-own-bell,Our two-year-old daughter mounts the scooter. She places one unsteady foot in front of the other on 
"Sutton house where fire killed four boys was 20cm deep in rubbish, court hears",Sammy Gecsoyler,2024-09-16,https://www.theguardian.com/uk-news/2024/sep/16/sutton-house-fire-killed-four-boys-20cm-deep-rubbish-court-hears,Four young boys living in a house strewn with rubbish and human excrement died hiding under a bed as
New ghost shark species with unusually long nose discovered in deep seas off New Zealand,Eva Corlett in Wellington,2024-09-25,https://www.theguardian.com/world/2024/sep/25/ghost-shark-new-species-spookfish-discovered-new-zealand,"A new species of ghost shark, with an unusually long nose and a whip-like tail, has been discovered "
Irish troops with Unifil may remember Israeli slurs | Letter,No author available,2024-04-15,https://www.theguardian.com/world/2024/apr/15/pro-palestinian-feeling-in-ireland-has-deep-roots,"Re your article (How Spain and Ireland became the EU’s sharpest critics of Israel, 5 April), I fear "
‘Take a deep breath on being Trump-esque’: senior Coalition figures reject backbench push to rethink net zero,Paul Karp Chief political correspondent,2024-11-11,https://www.theguardian.com/environment/2024/nov/11/nationals-liberal-coalition-net-zero-policy-donald-trump-election-win-australia-impact,"Nationals leader David Littleproud, shadow transport minister Bridget McKenzie and Senate Liberal le"
Rahm case casts shadow over Ryder Cup as PGA Tour-LIV rupture still runs deep | Ewan Murray,Ewan Murray,2024-09-16,https://www.theguardian.com/sport/2024/sep/16/rahm-case-casts-shadow-over-ryder-cup-as-pga-tour-liv-rupture-still-runs-deep,Jon Rahm has made his second decision. Only time will tell if this proves more successful than his f
‘Unschooling’ parents put their kids in charge of their own educations. Are they actually learning?,John Semley,2024-09-09,https://www.theguardian.com/education/article/2024/sep/09/home-school-unschooling-influencers,"This summer, a TikTok video of a mother showing off her son’s literacy skills went viral. “Not compa"
Rachel Roddy’s recipe for panzerotti – deep-fried dough parcels filled with cheese | A kitchen in Rome,Rachel Roddy,2024-07-22,https://www.theguardian.com/food/article/2024/jul/22/panzerotti-recipe-deep-fried-dough-parcels-cheese-rachel-roddy,The same Italian teacher who taught me to stuff vegetables in her brown kitchen introduced me to dim
Emma Hayes in at the deep end for USWNT’s latest Olympic odyssey,Suzanne Wrack,2024-07-22,https://www.theguardian.com/sport/article/2024/jul/22/emma-hayes-in-at-the-deep-end-for-uswnts-latest-olympic-odyssey,This time last year Emma Hayes’s relationship with international football was very different. Her fa
Is it important for kids to learn about winning and losing?,Adrienne Matei,2024-12-01,https://www.theguardian.com/wellness/2024/dec/01/youth-sports-teaching-winning-losing,"My boyfriend’s parents coached youth sports teams in the 90s, so they have many anecdotes about how "
Fremantle’s top-four spot suggests a deep run into September and beyond | Craig Little,Craig Little,2024-07-08,https://www.theguardian.com/sport/blog/article/2024/jul/08/afl-fremantle-vs-richmond-round-17-comment,"On Saturday night, Fremantle played a Richmond team whose year of injury and losses couldn’t be un-c"
‘It’s better not to try our luck again’: how Russia’s wars left deep scars in Georgia and Moldova,Pjotr Sauer in Gori and Chișinău,2024-11-01,https://www.theguardian.com/world/2024/nov/01/russia-wars-georgia-moldova-europe-voters-closer-ties-moscow,"Lately, Levan cannot stop thinking about the time he saw Russian tanks roll into his hometown of Gor"
Light Falls Vertical review – startling domestic violence memoir goes deep into past trauma,Phuong Le,2024-07-29,https://www.theguardian.com/film/article/2024/jul/29/light-falls-vertical-review,"Enveloped in a sonic cocoon of gentle ocean waves and rustling wind, the sensorial opening of Efthym"
Ex-CIA director Leon Panetta ‘hopeful’ that Trump will be more Reagan than ‘America First’ on national security,Martin Pengelly in Washington,2025-01-03,https://www.theguardian.com/us-news/2025/jan/03/leon-panetta-trump-defense-national-security,"In January 2013, as US defense secretary, Leon Panetta lifted a ban on women serving in combat. Some"
How on earth did humans learn to bake?,,2024-11-17,https://www.theguardian.com/lifeandstyle/2024/nov/17/how-on-earth-did-humans-learn-to-bake,"How on earth did humans learn to bake? Presumably the short answer is “through trial and error”, but"
Ukraine war briefing: US says striking deep in Russia no game-changer after Zelenskiy plea,Guardian staff and agencies,2024-09-07,https://www.theguardian.com/world/article/2024/sep/07/ukraine-war-briefing-us-says-striking-deep-in-russia-no-game-changer-after-zelenskiy-plea,The US has cautioned there is “no one capability” that would turn the war in Ukraine in Kyiv’s favou
Deep Sea review – underwater restaurant yarn cooks up dazzlingly psychedelic images,Phuong Le,2024-06-03,https://www.theguardian.com/film/article/2024/jun/03/deep-sea-review-underwater-restaurant-yarn-cooks-up-dazzlingly-psychedelic-images,"Having conquered the Chinese box office with the superhit Monkey King: Hero Is Back in 2015, directo"
Deep listening: the haunting sonic world of Cassandra Miller,Imogen Tilden,2024-04-11,https://www.theguardian.com/music/2024/apr/11/deep-listening-the-haunting-sonic-world-of-cassandra-miller-composer,"“I steal people’s souls”, says Cassandra Miller. The 47-year old Canadian composer sits in her light"
‘It enriches your mind in every way’: the fight to keep the UK learning German,Kate Connolly in Berlin,2024-08-17,https://www.theguardian.com/education/article/2024/aug/17/it-enriches-your-mind-in-every-way-the-fight-to-keep-the-uk-learning-german,"When Londoner Amber Tallon started learning German at the age of 12, she “took to it like a duck to "
Ipsos poll shows just how deep a hole the Conservatives are in,Gideon Skinner,2024-06-18,https://www.theguardian.com/politics/article/2024/jun/18/ipsos-poll-shows-just-how-deep-a-hole-the-conservatives-are-in,The findings from today’s Ipsos MRP poll show in no uncertain terms just how much trouble the Conser
Deadland review – melancholy horror smuggles deep themes across the US-Mexico border,Leslie Felperin,2024-06-18,https://www.theguardian.com/film/article/2024/jun/18/deadland-review-melancholy-horror-smuggles-deep-themes-across-the-us-mexico-border,"Screened at SXSW last year but still relevant given the ongoing debate about immigration in the US, "
The Guardian view on Horrible Histories: laughing to learn | Editorial,Editorial,2024-12-06,https://www.theguardian.com/commentisfree/2024/dec/06/the-guardian-view-on-horrible-histories-laughing-to-learn,"“It must be horrible, funny and true,” the writer Terry Deary said of adapting his multimillion-sell"
Spain’s dream team of Alcaraz and Nadal dig deep to advance in Olympic doubles,Tumaini Carayol at Roland Garros,2024-07-27,https://www.theguardian.com/sport/article/2024/jul/27/novak-djokovic-paris-olympics-tennis-alcaraz-nadal,"When a 12-year-old Carlos Alcaraz was asked to name his favourite tennis player, his answer was not "
‘I find myself getting in a little too deep’: Sean Baker on his Palme d’Or-winning lapdance film,Ryan Gilbey,2024-10-21,https://www.theguardian.com/film/2024/oct/21/sean-baker-interview-anora-lapdance-film-palme-dor,"Sean Baker is fastidious about research, plunging himself into the milieu of whatever he happens to "
My five-year-old son is learning to play chess…,Séamas O’Reilly,2024-04-21,https://www.theguardian.com/lifeandstyle/2024/apr/21/my-five-year-old-son-is-learning-to-play-chess,"I am beset by shrapnel. Pawns fly through the air like exploded balcony segments, rooks plink and pl"
Friday briefing: Why Biden and Starmer are preparing to let Ukraine use western missiles deep inside Russia,Archie Bland,2024-09-13,https://www.theguardian.com/world/2024/sep/13/first-edition-ukraine-storm-shadow,Good morning. Keir Starmer’s visit with Joe Biden at the White House this afternoon is undoubtedly t
"Let us show Putin we have ability to hit targets deep inside Russia, Ukraine urges west",Dan Sabbagh Kyiv,2024-08-24,https://www.theguardian.com/world/article/2024/aug/24/let-us-show-putin-we-have-ability-to-hit-targets-deep-inside-russia-ukraine-urges-west,Ukraine wants permission from the west to use long-range Storm Shadow missiles to destroy targets de
I’d hate to be learning English again. Apostrophes are a nightmare | Adrian Chiles,Adrian Chiles,2024-05-16,https://www.theguardian.com/commentisfree/article/2024/may/16/id-hate-to-be-learning-english-again-apostrophes-are-a-nightmare,"The mice’s nest was under the floorboards. The geese’s pond was smelly. There, I’ve done it. I’ve pu"
Ukraine war briefing: Ukrainian intelligence ‘strikes Su-57 warplane deep inside Russia’,Warren Murray and agencies,2024-06-10,https://www.theguardian.com/world/article/2024/jun/10/ukraine-war-briefing-ukrainian-intelligence-strikes-su-57-warplane-deep-inside-russia,Ukraine’s forces have hit an advanced Su-57 warplane on an airbase in Russia nearly 600km from the f
Deep space radar site in Wales to go ahead to protect UK from ‘space warfare’,Jessica Elgot and Hannah Devlin,2024-08-08,https://www.theguardian.com/politics/article/2024/aug/08/plans-deep-space-radar-site-wales-go-ahead,Plans for a network of radars tracking deep space activity to help protect the UK from “space warfar
AI learns to distinguish between aromas of US and Scottish whiskies,Ian Sample Science editor,2024-12-19,https://www.theguardian.com/technology/2024/dec/19/ai-learns-to-distinguish-between-aromas-of-us-and-scottish-whiskies,Notch up another win for artificial intelligence. Researchers have used the technology to predict th
Inside the battle for top job that will decide the future of deep-sea mining,Karen McVeigh,2024-07-29,https://www.theguardian.com/environment/article/2024/jul/29/inside-the-battle-for-top-job-that-will-decide-the-future-of-deep-sea-mining,Leticia Carvalho is clear what the problem is with the body she hopes to be elected to run: “Trust i
Deep Water by James Bradley review – what lies beneath,Philip Ball,2024-03-07,https://www.theguardian.com/books/2024/mar/07/deep-water-by-james-bradley-review-what-lies-beneath,"Nine kilometres beneath the sea off the coast of Japan, there are fields of yellow flowers that stre"
"After years of obsessive learning, my piano sits silent – and I’m happy with that | Brian Hanson-Harding",Brian Hanson-Harding,2024-06-24,https://www.theguardian.com/commentisfree/article/2024/jun/24/why-i-quit-learning-piano-retirement-music,"On a hot June day in 2015, I retired after 34 years of teaching high school. I packed up my classroo"
The Grenfell inquiry is exposing a culture of contempt that has run deep in Britain for decades | Rowan Moore,Rowan Moore,2024-09-01,https://www.theguardian.com/commentisfree/article/2024/sep/01/grenfell-inquiry-culture-of-contempt-britain,"In 2008, Philip Heath, a technical manager for the insulation manufacturers Kingspan, circulated an "
‘Money pervades everything’: the psychotherapist delving into our deep anxiety about finances,Mark Wilding,2024-05-12,https://www.theguardian.com/science/article/2024/may/12/money-pervades-everything-the-psychotherapist-delving-into-our-deep-anxiety-about-finances,"I am a generous tipper. I’ve always thought, to the extent that I have thought about it at all, that"
